285,b31b932c-1cda-4a34-b7c3-1,1111110262,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
286,b31b932c-1cda-4a34-b7c3-1,1111110263,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
287,b31b932c-1cda-4a34-b7c3-1,1111110264,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
288,b31b932c-1cda-4a34-b7c3-1,1111110265,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
289,b31b932c-1cda-4a34-b7c3-1,1111110266,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
290,b31b932c-1cda-4a34-b7c3-1,1111110267,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
291,b31b932c-1cda-4a34-b7c3-1,1111110268,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
292,b31b932c-1cda-4a34-b7c3-1,1111110269,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
293,b31b932c-1cda-4a34-b7c3-1,1111110270,The United Police Fund,R,UPF,PCRU,8002151579,7381,100,205
391,010903af-2131-4947-aef6-7,1111110400,MPI All-Default,B,ALLDFLT,NA,8006803192,7351,50,260
392,010903af-2131-4947-aef6-7,1111110470,National Police & Troopers Assoc.,B,NPTA,NABQ,8007436794,7357,50,260
393,010903af-2131-4947-aef6-7,1111110471,National Police & Troopers Assoc.,B,NPTA,NABQ,8007436794,7357,50,260
394,010903af-2131-4947-aef6-7,1111110472,National Police & Troopers Assoc.,B,NPTA,NABQ,8007436794,7357,50,260
395,010903af-2131-4947-aef6-7,1111110473,National Police & Troopers Assoc.,B,NPTA,NABQ,8007436794,7357,50,260
396,fe42a601-7bcd-4d1c-b934-f,1111110430,New Jersey Police Officer Foundation,B,NJPF,NJBP,8007981769,7377,50,261
397,fe42a601-7bcd-4d1c-b934-f,1111110431,New Jersey Police Officer Foundation,B,NJPF,NJBP,8007981769,7377,50,261
398,fe42a601-7bcd-4d1c-b934-f,1111110476,New Jersey Police Officer Foundation,B,NJPF,NJBP,8007981769,7377,50,261
399,fe42a601-7bcd-4d1c-b934-f,1111110477,New Jersey Police Officer Foundation,B,NJPF,NJBP,8007981769,7377,50,261
