LeadFileID,PseudoCID,Client_Description,Sales_Type,Client_Code,PubCode,InBnd_TranNo,VoiceMail,DID_CNT
bfcb091a-2d61-442e-9e16-6,1111110265,National Police & Troopers Assoc.,R,NPTA,NARQ,8007436794,7357,100
bfcb091a-2d61-442e-9e16-6,1111110266,National Police & Troopers Assoc.,R,NPTA,NARQ,8007436794,7357,100
bfcb091a-2d61-442e-9e16-6,1111110267,National Police & Troopers Assoc.,R,NPTA,NARQ,8007436794,7357,100
bfcb091a-2d61-442e-9e16-6,1111110268,National Police & Troopers Assoc.,R,NPTA,NARQ,8007436794,7357,100
bfcb091a-2d61-442e-9e16-6,1111110269,National Police & Troopers Assoc.,R,NPTA,NARQ,8007436794,7357,100
