174,1111110273,R,CCI,A
175,1111110274,R,CCI,A
176,1111110275,R,CCI,A
177,1111110276,R,CCI,A
178,1111110277,R,CCI,A
179,1111110278,R,CCI,A
180,1111110279,R,CCI,A
181,1111110280,R,CCI,A
182,1111110281,R,CCI,I
183,1111110282,R,CCI,A
184,1111110283,R,CCI,A
185,1111110284,R,CCI,A
186,1111110285,R,CCI,A
187,1111110286,R,CCI,A
188,1111110287,R,CCI,A
189,1111110288,R,CCI,A
190,1111110289,R,CCI,A
191,1111110290,R,CCI,A
192,1111110291,R,CCI,A
193,1111110292,R,CCI,A
194,1111110293,R,CCI,A
195,1111110294,R,CCI,A
196,1111110295,R,CCI,A
197,1111110296,R,CCI,I
198,1111110297,R,CCI,I
199,1111110298,R,CCI,I
200,1111110299,R,CCI,I
201,1111110300,B,TouchTone,A
202,1111110301,B,TouchTone,A
203,1111110302,B,TouchTone,I
204,1111110303,B,TouchTone,I
205,1111110304,B,TouchTone,I
206,1111110305,B,TouchTone,I
207,1111110306,B,TouchTone,I
208,1111110307,B,TouchTone,I
209,1111110308,B,TouchTone,A
210,1111110309,B,TouchTone,A
211,1111110310,B,TouchTone,I
212,1111110311,B,TouchTone,I
213,1111110312,B,TouchTone,A
214,1111110313,B,TouchTone,A
215,1111110314,B,TouchTone,I
216,1111110315,B,TouchTone,I
217,1111110316,B,TouchTone,I
218,1111110317,B,TouchTone,I
219,1111110318,B,TouchTone,I
220,1111110319,B,TouchTone,I
221,1111110320,B,TouchTone,I
222,1111110321,B,TouchTone,I
223,1111110322,B,TouchTone,I
224,1111110323,B,TouchTone,I
225,1111110324,B,TouchTone,I
226,1111110325,B,TouchTone,I
227,1111110326,B,TouchTone,I
228,1111110327,B,TouchTone,I
229,1111110328,B,TouchTone,I
230,1111110329,B,TouchTone,I
231,1111110330,B,TouchTone,I
232,1111110331,B,TouchTone,I
233,1111110332,B,TouchTone,I
234,1111110333,B,TouchTone,I
235,1111110334,B,TouchTone,I
236,1111110335,B,TouchTone,I
237,1111110336,B,TouchTone,I
238,1111110337,B,TouchTone,I
239,1111110338,B,TouchTone,I
240,1111110339,B,TouchTone,I
241,1111110340,B,TouchTone,I
242,1111110341,B,TouchTone,I
243,1111110342,B,TouchTone,I
244,1111110343,B,TouchTone,I
245,1111110344,B,TouchTone,I
246,1111110345,B,TouchTone,I
247,1111110346,B,TouchTone,I
248,1111110347,B,TouchTone,I
249,1111110348,B,TouchTone,I
250,1111110349,B,TouchTone,I
251,1111110350,B,TouchTone,I
252,1111110351,B,TouchTone,I
253,1111110352,B,TouchTone,I
254,1111110353,B,TouchTone,I
255,1111110354,B,TouchTone,I
256,1111110355,B,TouchTone,I
257,1111110356,B,TouchTone,I
258,1111110357,B,TouchTone,I
259,1111110358,B,TouchTone,I
260,1111110359,B,TouchTone,I
261,1111110360,B,TouchTone,I
262,1111110361,B,TouchTone,I
263,1111110362,B,TouchTone,I
264,1111110363,B,TouchTone,I
265,1111110364,B,TouchTone,I
266,1111110365,B,TouchTone,I
267,1111110366,B,TouchTone,I
268,1111110367,B,TouchTone,I
269,1111110368,B,TouchTone,I
270,1111110369,B,TouchTone,I
271,1111110370,B,TouchTone,A
272,1111110371,B,TouchTone,I
273,1111110372,B,TouchTone,I
274,1111110373,B,TouchTone,I
275,1111110374,B,TouchTone,I
276,1111110375,B,TouchTone,I
277,1111110376,B,TouchTone,I
278,1111110377,B,TouchTone,I
279,1111110378,B,TouchTone,I
280,1111110379,B,TouchTone,I
281,1111110380,B,TouchTone,I
282,1111110381,B,TouchTone,I
283,1111110382,B,TouchTone,I
284,1111110383,B,TouchTone,I
285,1111110384,B,TouchTone,I
286,1111110385,B,TouchTone,I
287,1111110386,B,TouchTone,I
288,1111110387,B,TouchTone,I
289,1111110388,B,TouchTone,I
290,1111110389,B,TouchTone,I
291,1111110390,B,TouchTone,I
292,1111110391,B,TouchTone,I
293,1111110392,B,TouchTone,I
294,1111110393,B,TouchTone,I
295,1111110394,B,TouchTone,I
296,1111110395,B,TouchTone,I
297,1111110396,B,TouchTone,I
298,1111110397,B,TouchTone,I
299,1111110398,B,TouchTone,I
300,1111110399,B,TouchTone,I
301,1111110400,B,CCI,A
302,1111110401,B,CCI,I
303,1111110402,B,CCI,I
304,1111110403,B,CCI,I
305,1111110404,B,CCI,I
306,1111110405,B,CCI,I
307,1111110406,B,CCI,A
308,1111110407,B,CCI,A
309,1111110408,B,CCI,A
310,1111110409,B,CCI,A
311,1111110410,B,CCI,A
312,1111110411,B,CCI,A
313,1111110412,B,CCI,I
314,1111110413,B,CCI,I
315,1111110414,B,CCI,I
316,1111110415,B,CCI,I
317,1111110416,B,CCI,A
318,1111110417,B,CCI,A
319,1111110418,B,CCI,A
320,1111110419,B,CCI,A
321,1111110420,B,CCI,A
322,1111110421,B,CCI,A
323,1111110422,B,CCI,A
324,1111110423,B,CCI,A
325,1111110424,B,CCI,A
326,1111110425,B,CCI,A
327,1111110426,B,CCI,A
328,1111110427,B,CCI,A
329,1111110428,B,CCI,A
330,1111110429,B,CCI,A
331,1111110430,B,CCI,A
332,1111110431,B,CCI,A
333,1111110432,B,CCI,A
334,1111110433,B,CCI,A
335,1111110434,B,CCI,A
336,1111110435,B,CCI,A
337,1111110436,B,CCI,A
338,1111110437,B,CCI,A
339,1111110438,B,CCI,I
340,1111110439,B,CCI,I
341,1111110440,B,CCI,A
342,1111110441,B,CCI,A
343,1111110442,B,CCI,I
344,1111110443,B,CCI,A
345,1111110444,B,CCI,A
346,1111110445,B,CCI,A
347,1111110446,B,CCI,A
348,1111110447,B,CCI,A
349,1111110448,B,CCI,A
350,1111110449,B,CCI,A
351,1111110450,B,CCI,A
352,1111110451,B,CCI,A
353,1111110452,B,CCI,A
354,1111110453,B,CCI,A
355,1111110454,B,CCI,A
356,1111110455,B,CCI,A
357,1111110456,B,CCI,A
358,1111110457,B,CCI,I
359,1111110458,B,CCI,A
360,1111110459,B,CCI,A
361,1111110460,B,CCI,A
362,1111110461,B,CCI,A
363,1111110462,B,CCI,A
364,1111110463,B,CCI,A
365,1111110464,B,CCI,A
366,1111110465,B,CCI,A
367,1111110466,B,CCI,A
368,1111110467,B,CCI,A
369,1111110468,B,CCI,A
370,1111110469,B,CCI,I
371,1111110470,B,CCI,A
372,1111110471,B,CCI,A
373,1111110472,B,CCI,A
374,1111110473,B,CCI,A
375,1111110474,B,CCI,A
376,1111110475,B,CCI,A
377,1111110476,B,CCI,A
378,1111110477,B,CCI,A
379,1111110478,B,CCI,A
380,1111110479,B,CCI,A
381,1111110480,B,CCI,A
382,1111110481,B,CCI,A
383,1111110482,B,CCI,A
384,1111110483,B,CCI,A
385,1111110484,B,CCI,A
386,1111110485,B,CCI,A
387,1111110486,B,CCI,A
388,1111110487,B,CCI,A
389,1111110488,B,CCI,A
390,1111110489,B,CCI,A
391,1111110490,B,CCI,A
392,1111110491,B,CCI,A
393,1111110492,B,CCI,A
394,1111110493,B,CCI,A
395,1111110494,B,CCI,A
396,1111110495,B,CCI,A
397,1111110496,B,CCI,A
398,1111110497,B,CCI,A
399,1111110498,B,CCI,A
400,1111110499,B,CCI,A
401,1111110500,B,CCI,A
402,1111110501,B,CCI,A
403,1111110502,B,CCI,I
404,1111110503,B,CCI,I
405,1111110504,B,CCI,I
406,1111110505,B,CCI,I
407,1111110506,B,CCI,I
408,1111110507,B,CCI,I
409,1111110508,B,CCI,I
410,1111110509,B,CCI,I
411,1111110510,B,CCI,I
412,1111110511,NA,NA,X
413,1111110512,NA,NA,X
414,1111110513,NA,NA,X
415,1111110514,NA,NA,X
416,1111110515,NA,NA,X
417,1111110516,NA,NA,X
418,1111110517,NA,NA,X
419,1111110518,NA,NA,X
420,1111110519,NA,NA,X
421,1111110520,NA,NA,X
422,1111110521,NA,NA,X
423,1111110522,NA,NA,X
424,1111110523,NA,NA,X
425,1111110524,NA,NA,X
426,1111110525,NA,NA,X
427,1111110526,NA,NA,X
428,1111110527,NA,NA,X
429,1111110528,NA,NA,X
430,1111110529,NA,NA,X
431,1111110530,NA,NA,X
432,1111110531,NA,NA,X
433,1111110532,NA,NA,X
434,1111110533,NA,NA,X
435,1111110534,NA,NA,X
436,1111110535,NA,NA,X
437,1111110536,NA,NA,X
438,1111110537,NA,NA,X
439,1111110538,NA,NA,X
440,1111110539,NA,NA,X
441,1111110540,NA,NA,X
442,1111110541,NA,NA,X
443,1111110542,NA,NA,X
444,1111110543,NA,NA,X
445,1111110544,NA,NA,X
446,1111110545,NA,NA,X
447,1111110546,NA,NA,X
448,1111110547,NA,NA,X
449,1111110548,NA,NA,X
450,1111110549,NA,NA,X
451,1111110550,NA,NA,X
452,1111110551,NA,NA,X
453,1111110552,NA,NA,X
454,1111110553,NA,NA,X
455,1111110554,NA,NA,X
456,1111110555,NA,NA,X
457,1111110556,NA,NA,X
458,1111110557,NA,NA,X
459,1111110558,NA,NA,X
460,1111110559,NA,NA,X
461,1111110560,NA,NA,X
462,1111110561,NA,NA,X
463,1111110562,NA,NA,X
464,1111110563,NA,NA,X
465,1111110564,NA,NA,X
466,1111110565,NA,NA,X
467,1111110566,NA,NA,X
468,1111110567,NA,NA,X
469,1111110568,NA,NA,X
470,1111110569,NA,NA,X
471,1111110570,NA,NA,X
472,1111110571,NA,NA,X
473,1111110572,NA,NA,X
474,1111110573,NA,NA,X
475,1111110574,NA,NA,X
476,1111110575,NA,NA,X
477,1111110576,NA,NA,X
478,1111110577,NA,NA,X
479,1111110578,NA,NA,X
480,1111110579,NA,NA,X
481,1111110580,NA,NA,X
482,1111110581,NA,NA,X
483,1111110582,NA,NA,X
484,1111110583,NA,NA,X
485,1111110584,NA,NA,X
486,1111110585,NA,NA,X
487,1111110586,NA,NA,X
488,1111110587,NA,NA,X
489,1111110588,NA,NA,X
490,1111110589,NA,NA,X
491,1111110590,NA,NA,X
492,1111110591,NA,NA,X
493,1111110592,NA,NA,X
494,1111110593,NA,NA,X
495,1111110594,NA,NA,X
496,1111110595,NA,NA,X
497,1111110596,NA,NA,X
498,1111110597,NA,NA,X
499,1111110598,NA,NA,X
500,1111110599,NA,NA,X
501,1111110600,R,CCI,I
502,1111110601,R,CCI,I
503,1111110602,R,CCI,I
504,1111110603,R,CCI,I
505,1111110604,R,CCI,I
506,1111110605,R,CCI,I
507,1111110606,R,CCI,I
508,1111110607,R,CCI,I
509,1111110608,R,CCI,I
510,1111110609,R,CCI,I
511,1111110610,R,CCI,I
512,1111110611,R,CCI,I
513,1111110612,R,CCI,I
514,1111110613,R,CCI,I
515,1111110614,R,CCI,I
516,1111110615,R,CCI,I
517,1111110616,R,CCI,I
518,1111110617,R,CCI,I
519,1111110618,R,CCI,I
520,1111110619,R,CCI,I
521,1111110620,R,CCI,I
522,1111110621,R,CCI,I
523,1111110622,R,CCI,I
524,1111110623,R,CCI,I
525,1111110624,R,CCI,I
526,1111110625,R,CCI,I
527,1111110626,R,CCI,I
528,1111110627,R,CCI,I
529,1111110628,R,CCI,I
530,1111110629,R,CCI,I
531,1111110630,R,CCI,I
532,1111110631,R,CCI,I
533,1111110632,R,CCI,I
534,1111110633,R,CCI,I
535,1111110634,R,CCI,I
536,1111110635,R,CCI,I
537,1111110636,R,CCI,I
538,1111110637,R,CCI,I
539,1111110638,R,CCI,I
540,1111110639,R,CCI,I
541,1111110640,R,CCI,I
542,1111110641,R,CCI,I
543,1111110642,R,CCI,I
544,1111110643,R,CCI,I
545,1111110644,R,CCI,I
546,1111110645,R,CCI,I
547,1111110646,R,CCI,I
548,1111110647,R,CCI,I
549,1111110648,R,CCI,I
550,1111110649,R,CCI,I
551,1111110650,R,CCI,I
552,1111110651,R,CCI,I
553,1111110652,R,CCI,I
554,1111110653,R,CCI,I
555,1111110654,R,CCI,I
556,1111110655,R,CCI,I
557,1111110656,R,CCI,I
558,1111110657,R,CCI,I
559,1111110658,R,CCI,I
560,1111110659,R,CCI,I
561,1111110660,R,CCI,I
562,1111110661,R,CCI,I
563,1111110662,R,CCI,I
564,1111110663,R,CCI,I
565,1111110664,R,CCI,I
566,1111110665,R,CCI,I
567,1111110666,R,CCI,I
568,1111110667,R,CCI,I
569,1111110668,R,CCI,I
570,1111110669,R,CCI,I
571,1111110670,R,CCI,I
572,1111110671,R,CCI,I
573,1111110672,R,CCI,I
574,1111110673,R,CCI,I
575,1111110674,R,CCI,I
576,1111110675,R,CCI,I
577,1111110676,R,CCI,I
578,1111110677,R,CCI,I
579,1111110678,R,CCI,I
580,1111110679,R,CCI,I
581,1111110680,R,CCI,I
582,1111110681,R,CCI,I
583,1111110682,R,CCI,I
584,1111110683,R,CCI,I
585,1111110684,R,CCI,I
586,1111110685,R,CCI,I
587,1111110686,R,CCI,I
588,1111110687,R,CCI,I
589,1111110688,R,CCI,I
590,1111110689,R,CCI,I
591,1111110690,R,CCI,I
592,1111110691,R,CCI,I
593,1111110692,R,CCI,I
594,1111110693,R,CCI,I
595,1111110694,R,CCI,I
596,1111110695,R,CCI,I
597,1111110696,R,CCI,I
598,1111110697,R,CCI,I
599,1111110698,R,CCI,I
600,1111110699,R,CCI,I
601,1111110700,NA,NA,X
602,1111110701,NA,NA,X
603,1111110702,NA,NA,X
604,1111110703,NA,NA,X
605,1111110704,NA,NA,X
606,1111110705,NA,NA,X
607,1111110706,NA,NA,X
608,1111110707,NA,NA,X
609,1111110708,NA,NA,X
610,1111110709,NA,NA,X
611,1111110710,NA,NA,X
612,1111110711,NA,NA,X
613,1111110712,NA,NA,X
614,1111110713,NA,NA,X
615,1111110714,NA,NA,X
616,1111110715,NA,NA,X
617,1111110716,NA,NA,X
618,1111110717,NA,NA,X
619,1111110718,NA,NA,X
620,1111110719,NA,NA,X
621,1111110720,NA,NA,X
622,1111110721,NA,NA,X
623,1111110722,NA,NA,X
624,1111110723,NA,NA,X
625,1111110724,NA,NA,X
626,1111110725,NA,NA,X
627,1111110726,NA,NA,X
628,1111110727,NA,NA,X
629,1111110728,NA,NA,X
630,1111110729,NA,NA,X
631,1111110730,NA,NA,X
632,1111110731,NA,NA,X
633,1111110732,NA,NA,X
634,1111110733,NA,NA,X
635,1111110734,NA,NA,X
636,1111110735,NA,NA,X
637,1111110736,NA,NA,X
638,1111110737,NA,NA,X
639,1111110738,NA,NA,X
640,1111110739,NA,NA,X
641,1111110740,NA,NA,X
642,1111110741,NA,NA,X
643,1111110742,NA,NA,X
644,1111110743,NA,NA,X
645,1111110744,NA,NA,X
646,1111110745,NA,NA,X
647,1111110746,NA,NA,X
648,1111110747,NA,NA,X
649,1111110748,NA,NA,X
650,1111110749,NA,NA,X
